-122.6,49.051
-114.97,49.051
-106.03,49.051
-98.871,49.051
-94.895,49.449
-90.72,48.19
-89.395,48.057
-87.34,47.726
-85.153,46.864
-82.914,45.967
-85.501,45.635
-86.678,45.539
-87.804,42.756
-87.141,41.695
-86.28,42.689
-86.611,43.882
-85.501,45.635
-82.914,45.967
-83.629,43.551
-82.701,44.081
-82.436,42.822
-83.165,41.629
-81.641,41.497
-78.99,43.22
-76.604,44.081
-74.815,45.208
-71.369,45.407
-69.116,47.66
-67.658,47.196
-66.664,44.744
-70.441,42.557
-69.646,41.563
-73.622,40.37
-74.815,38.581
-75.61,35.864
-76.141,34.538
-79.984,32.616
-81.31,30.363
-80.051,27.116
-80.051,24.531
-81.995,25.726
-83.654,29.377
-87.571,29.974
-88.965,28.978
-93.612,29.377
-97.064,27.385
-96.798,25.726
-99.254,26.124
-101.64,29.377
-103.44,28.58
-106.22,31.169
-108.02,31.103
-111.54,31.368
-114.85,32.364
-117.18,32.43
-120.63,34.488
-124.21,38.737
-124.81,42.852
-124.21,46.371
-124.81,48.362
